2025-06-16 13:46:45.299 | SUCCESS  | General_Functions:Procesar_configuracion:28 - Proceso de obtención de configuración satisfactorio
2025-06-16 13:46:45.304 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Consulta CXS Cliente NO_DS.xlsx Hoja Consulta resto segm
2025-06-16 13:47:20.532 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Consulta CXS Cliente NO_DS.xlsx Hoja: Consulta resto segm realizada con éxito
2025-06-16 13:47:20.538 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 35.234031677246094 segundos
2025-06-16 13:47:20.538 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Cargar_insumo: 35.234031677246094 segundos
2025-06-16 13:47:20.545 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Consultas CXS Cliente Cadenas.xlsx Hoja Clientes
2025-06-16 13:48:18.144 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Consultas CXS Cliente Cadenas.xlsx Hoja: Clientes realizada con éxito
2025-06-16 13:48:18.148 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 57.602426528930664 segundos
2025-06-16 13:48:18.153 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Cargar_insumo: 57.60738229751587 segundos
2025-06-16 13:48:18.154 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Consultas CXS Cliente DS Mensual.xlsx Hoja Otros
2025-06-16 13:50:14.837 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Consultas CXS Cliente DS Mensual.xlsx Hoja: Otros realizada con éxito
2025-06-16 13:50:14.837 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 116.68348002433777 segundos
2025-06-16 13:50:14.840 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Consultas CXS Cliente DS Mensual.xlsx Hoja Cafe y Chocolates
2025-06-16 13:51:07.394 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Consultas CXS Cliente DS Mensual.xlsx Hoja: Cafe y Chocolates realizada con éxito
2025-06-16 13:51:07.394 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 52.554239988327026 segundos
2025-06-16 13:51:07.394 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Cargar_insumo: 169.24039888381958 segundos
2025-06-16 13:51:07.484 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:21.557 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:21.558 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 14.073975801467896 segundos
2025-06-16 13:51:21.596 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:28.187 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:28.187 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 6.591315031051636 segundos
2025-06-16 13:51:28.266 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:30.478 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:30.478 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 2.212427854537964 segundos
2025-06-16 13:51:30.528 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:35.769 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:35.769 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 5.241691589355469 segundos
2025-06-16 13:51:35.794 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Automatico Venta NETA (Cadenas).xlsx Hoja Malas
2025-06-16 13:51:35.850 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Automatico Venta NETA (Cadenas).xlsx Hoja: Malas realizada con éxito
2025-06-16 13:51:35.850 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 0.05580401420593262 segundos
2025-06-16 13:51:35.850 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Automatico Venta NETA (Cadenas).xlsx Hoja Sin Asignar
2025-06-16 13:51:35.912 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Automatico Venta NETA (Cadenas).xlsx Hoja: Sin Asignar realizada con éxito
2025-06-16 13:51:35.912 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 0.061542510986328125 segundos
2025-06-16 13:51:35.928 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Cargar_insumo: 0.1334395408630371 segundos
2025-06-16 13:51:35.928 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Automatico Venta NETA (General).xlsx Hoja Malas
2025-06-16 13:51:35.988 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Automatico Venta NETA (General).xlsx Hoja: Malas realizada con éxito
2025-06-16 13:51:35.990 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 0.06281542778015137 segundos
2025-06-16 13:51:35.990 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Automatico Venta NETA (General).xlsx Hoja Sin Asignar
